imagen_id,imagen_path,label_real,label_real_nombre,acierto_eff,conf_correcta_eff,pred_eff,pred_nombre_eff,acierto_res,conf_correcta_res,pred_res,pred_nombre_res,acierto_vit,conf_correcta_vit,pred_vit,pred_nombre_vit
test_2838_aligned.jpg,../RAF_DB/DATASET/test/neutral/test_2838_aligned.jpg,4,neutral,1,0.9843513,4,neutral,1,0.96510637,4,neutral,1,0.70637804,4,neutral
test_0437_aligned.jpg,../RAF_DB/DATASET/test/happy/test_0437_aligned.jpg,3,happy,1,0.99530065,3,happy,1,0.89430714,3,happy,1,0.9811122,3,happy
test_0743_aligned.jpg,../RAF_DB/DATASET/test/happy/test_0743_aligned.jpg,3,happy,1,0.9993767,3,happy,1,0.9834984,3,happy,1,0.9676325,3,happy
test_0135_aligned.jpg,../RAF_DB/DATASET/test/surprise/test_0135_aligned.jpg,6,surprise,1,0.98887104,6,surprise,1,0.9232656,6,surprise,1,0.8903569,6,surprise
test_1648_aligned.jpg,../RAF_DB/DATASET/test/happy/test_1648_aligned.jpg,3,happy,1,0.9404192,3,happy,1,0.92307526,3,happy,1,0.99963355,3,happy
test_1817_aligned.jpg,../RAF_DB/DATASET/test/happy/test_1817_aligned.jpg,3,happy,1,0.9220241,3,happy,1,0.864038,3,happy,1,0.99859387,3,happy
test_2637_aligned.jpg,../RAF_DB/DATASET/test/neutral/test_2637_aligned.jpg,4,neutral,1,0.9821509,4,neutral,1,0.6220151,4,neutral,1,0.8024398,4,neutral
test_2965_aligned.jpg,../RAF_DB/DATASET/test/neutral/test_2965_aligned.jpg,4,neutral,1,0.94456273,4,neutral,1,0.4750075,4,neutral,1,0.8746221,4,neutral
test_1441_aligned.jpg,../RAF_DB/DATASET/test/sad/test_1441_aligned.jpg,5,sad,1,0.9937,5,sad,1,0.9938822,5,sad,1,0.93793666,5,sad
test_1459_aligned.jpg,../RAF_DB/DATASET/test/surprise/test_1459_aligned.jpg,6,surprise,1,0.98379624,6,surprise,1,0.9430271,6,surprise,1,0.9289322,6,surprise
test_2715_aligned.jpg,../RAF_DB/DATASET/test/neutral/test_2715_aligned.jpg,4,neutral,1,0.9602306,4,neutral,1,0.97859555,4,neutral,1,0.80974025,4,neutral
test_0216_aligned.jpg,../RAF_DB/DATASET/test/anger/test_0216_aligned.jpg,0,anger,1,0.99989116,0,anger,1,0.56505364,0,anger,1,0.77561575,0,anger
test_1901_aligned.jpg,../RAF_DB/DATASET/test/anger/test_1901_aligned.jpg,0,anger,1,0.9998603,0,anger,1,0.89824766,0,anger,1,0.85322493,0,anger
test_2227_aligned.jpg,../RAF_DB/DATASET/test/sad/test_2227_aligned.jpg,5,sad,1,0.9992756,5,sad,1,0.8450679,5,sad,1,0.9849246,5,sad
test_1809_aligned.jpg,../RAF_DB/DATASET/test/sad/test_1809_aligned.jpg,5,sad,1,0.9903431,5,sad,1,0.51069444,5,sad,1,0.9971655,5,sad
test_0008_aligned.jpg,../RAF_DB/DATASET/test/surprise/test_0008_aligned.jpg,6,surprise,1,0.99898857,6,surprise,1,0.9705601,6,surprise,1,0.9940141,6,surprise
test_0616_aligned.jpg,../RAF_DB/DATASET/test/sad/test_0616_aligned.jpg,5,sad,1,0.9991879,5,sad,1,0.6279624,5,sad,1,0.9954514,5,sad
test_1751_aligned.jpg,../RAF_DB/DATASET/test/anger/test_1751_aligned.jpg,0,anger,1,0.9874599,0,anger,1,0.9540849,0,anger,1,0.93428075,0,anger
test_1732_aligned.jpg,../RAF_DB/DATASET/test/surprise/test_1732_aligned.jpg,6,surprise,1,0.99667823,6,surprise,1,0.50193924,6,surprise,1,0.7911958,6,surprise
test_0146_aligned.jpg,../RAF_DB/DATASET/test/disgust/test_0146_aligned.jpg,1,disgust,1,0.9868514,1,disgust,1,0.50770897,1,disgust,1,0.47081754,1,disgust
test_1792_aligned.jpg,../RAF_DB/DATASET/test/fear/test_1792_aligned.jpg,2,fear,1,0.99990773,2,fear,1,0.78499454,2,fear,1,0.93259424,2,fear
test_2291_aligned.jpg,../RAF_DB/DATASET/test/fear/test_2291_aligned.jpg,2,fear,1,0.9998078,2,fear,1,0.8868218,2,fear,1,0.97964466,2,fear
test_1168_aligned.jpg,../RAF_DB/DATASET/test/disgust/test_1168_aligned.jpg,1,disgust,1,0.9972625,1,disgust,1,0.50517637,1,disgust,1,0.9529214,1,disgust
test_0172_aligned.jpg,../RAF_DB/DATASET/test/disgust/test_0172_aligned.jpg,1,disgust,1,0.838116,1,disgust,1,0.5396039,1,disgust,1,0.82518697,1,disgust
test_2170_aligned.jpg,../RAF_DB/DATASET/test/anger/test_2170_aligned.jpg,0,anger,1,0.648639,0,anger,1,0.5423637,0,anger,1,0.44656095,0,anger
test_2384_aligned.jpg,../RAF_DB/DATASET/test/disgust/test_2384_aligned.jpg,1,disgust,1,0.9870912,1,disgust,1,0.6910134,1,disgust,1,0.52498,1,disgust
test_2287_aligned.jpg,../RAF_DB/DATASET/test/fear/test_2287_aligned.jpg,2,fear,1,0.9994061,2,fear,1,0.5912548,2,fear,1,0.99376374,2,fear
test_2294_aligned.jpg,../RAF_DB/DATASET/test/fear/test_2294_aligned.jpg,2,fear,1,0.9530342,2,fear,1,0.62027633,2,fear,1,0.93826145,2,fear
